ID,title,author,rating,genre
0,Attack on Titan: Volume 13,Hajime Isayama,4.6,none
1,Antiques Roadkill: A Trash 'n' Treasures Mystery,Barbara Allan,3.3,"Fiction , Mystery &amp, Detective , Cozy , General"
2,The Art of Super Mario Odyssey,Nintendo,3.9,"Games &amp, Activities , Video &amp, Electronic"
3,Getting Away Is Deadly: An Ellie Avery Mystery,Sara Rosett,4.0,none
4,"The Painted Man (The Demon Cycle, Book 1)",Peter V. Brett,4.5,"Fiction , Fantasy , Dark Fantasy"
5,"A Feast for Crows (A Song of Ice and Fire, Book 4)",George R.R. Martin,4.5,none
6,God of War: The Official Novelization,J.M. Barlog,4.5,"Fiction , Media Tie-In"
7,Edgedancer: From the Stormlight Archive,Brandon Sanderson,4.8,"Fiction , Fantasy , Epic"
8,"Blood, Sweat, and Pixels: The Triumphant, Turbulent Stories Behind How Video Games Are Made",Jason Schreier,4.3,"Games &amp, Activities , Video &amp, Electronic"
9,Twas The Nightshift Before Christmas: Festive hospital diaries from the author of million-copy hit This is Going to Hurt,Adam Kay,4.7,"Biography &amp, Autobiography , Medical (incl. Patients)"
10,Sword of Destiny: Witcher 2: Tales of the Witcher,Andrzej Sapkowski,4.8,"Fiction , Fantasy , Dragons &amp, Mythical Creatures"
11,The Mysterious Affair at Styles (Poirot),Agatha Christie,4.6,none
12,Riley Paige Mystery Bundle: Once Gone (#1) and Once Taken (#2),Blake Pierce,4.5,none
13,Deadpool Kills the Marvel Universe,Cullen Bunn,4.2,"Comics &amp, Graphic Novels , Superheroes"
14,The Red Signal: An Agatha Christie Short Story,Agatha Christie,5.0,none
15,Crossroads of Twilight: Book Ten of 'The Wheel of Time',Robert Jordan,4.4,"Fiction , Fantasy , Epic"
16,My Little Pony: Friendship is Magic #83,Thom Zahler,5.0,"Comics & Graphic Novels , Fantasy"
17,That Time I got Reincarnated as a Slime 11,Story by FUSE,5.0,none
18,Ask A Footballer,James Milner,,"Biography &amp, Autobiography , Sports"
19,Edgedancer: From the Stormlight Archive,Brandon Sanderson,4.8,"Fiction , Fantasy , Military"
20,Sonic the Hedgehog #3,Ian Flynn,4.7,"Comics & Graphic Novels , Science Fiction"
21,Ultimate Spider-Man Vol. 11: Carnage,Brian Michael Bendis,4.1,none
22,The Last Wife: An absolutely gripping and emotional page turner with a brilliant twist,Nicola Marsh,4.7,"Fiction , Women"
23,The Mysterious Affair at Styles (Poirot),Agatha Christie,4.6,none
24,The Hitchhiker's Guide to the Galaxy: 42nd Anniversary Edition,Douglas Adams,4.6,"Juvenile Fiction , Humorous Stories"
25,"Prince of Thorns (The Broken Empire, Book 1)",Mark Lawrence,4.2,"Fiction , Classics"
26,Influence: The Psychology of Persuasion,"Robert B. Cialdini, PhD",4.3,"Business &amp, Economics , Motivational"
27,Critical Role Vox Machina: Origins: Volume 1,Matthew Mercer,5.0,none
28,Introducing Critical Theory: A Graphic Guide,Stuart Sim,3.7,"Social Science , General"
29,Morning Star,Pierce Brown,4.8,"Fiction , Science Fiction , Action &amp, Adventure"
30,Tall Tales and Wee Stories: The Best of Billy Connolly,Billy Connolly,5.0,none
31,After Anna,Alex Lake,4.1,"Fiction , Mystery &amp, Detective , General"
32,How to Win Friends and Influence People,Dale Carnegie,4.4,"Business &amp, Economics , Motivational"
33,The Empty Nest: An unputdownably gripping psychological thriller,Sue Watson,4.7,none
