"id"	"name"
1	"Fiction"
2	"Mystery & Detective"
3	"Cozy"
4	"General"
5	"Games & Activities"
6	"Video & Electronic"
7	"Fantasy"
8	"Dark Fantasy"
9	"Media Tie-In"
10	"Epic"
11	"Biography & Autobiography"
12	"Medical (incl. Patients)"
13	"Dragons & Mythical Creatures"
14	"Comics & Graphic Novels"
15	"Superheroes"
16	"Sports"
17	"Military"
18	"Science Fiction"
19	"Women"
20	"Juvenile Fiction"
21	"Humorous Stories"
22	"Classics"
23	"Business & Economics"
24	"Motivational"
25	"Social Science"
26	"Action & Adventure"
27	"Women Sleuths"
28	"Noir"
29	"Leadership"
30	"Literary Criticism"
31	"Accounting"
32	"Financial"
33	"Cooking"
34	"Methods"
35	"Baking"
36	"Literary Collections"
37	"Letters"
38	"Literary"
39	"Amateur Sleuth"
40	"Thrillers"
41	"Suspense"
42	"Industries"
43	"Computers & Information Technology"
44	"Self-Help"
45	"Personal Growth"
46	"Marketing"
47	"Family & Relationships"
48	"Private Investigators"
49	"Self-Esteem"
50	"Crime"
51	"Management"
52	"Corporate Finance"
53	"Psychology"
54	"Interpersonal Relations"
55	"Personal Success"
56	"Hard-Boiled"
57	"Communication & Social Skills"
58	"Police Procedural"
59	"Contemporary"
60	"Fantasy & Magic"
61	"Personal Finance"
62	"Drama"
63	"Shakespeare"
64	"Urban"
65	"Humor"
66	"Sports & Recreation"
67	"Soccer"
68	"Supernatural"
69	"International Mystery & Crime"
70	"History"
71	"Modern"
72	"20th Century"
73	"Domestic"
74	"Humorous"
75	"New Business Enterprises"
76	"Poetry"
77	"Self-Management"
78	"Horror"
79	"LGBT"
80	"Gay"
81	"Emotions"
82	"Reference"
83	"Theory"
84	"Success"
85	"Manga"
86	"Organizational Behavior"
87	"Conflict Resolution & Mediation"
88	"Philosophy"
89	"Mentoring & Coaching"
90	"Advertising & Promotion"
91	"Psychological"
92	"Nonfiction"
93	"E-Commerce"
94	"Time Management"
95	"Creative Ability"
96	"Paranormal"
97	"Fairy Tales"
98	"Folk Tales"
99	"Legends & Mythology"
100	"True Crime"
101	"Neuropsychology"
102	"Health & Fitness"
103	"Healthy Living"
104	"Movements"
105	"Social Psychology"
106	"Space Opera"
107	"Historical"
108	"Budgeting"
109	"Entrepreneurship"
110	"Technology & Engineering"
111	"Management Science"
112	"Multilevel"
113	"Business Communication"
114	"Computers"
115	"Electronic Commerce"
116	"Training"
117	"Decision-Making & Problem Solving"
118	"System Administration"
119	"Storage & Retrieval"
120	"Literary Figures"
121	"Political"
122	"Medical"
123	"Internal Medicine"
124	"Stress Management"
125	"Young Adult Fiction"
126	"Gender Studies"
127	"Espionage"
128	"Strategy"
129	"Nature"
130	"Environmental Conservation & Protection"
131	"Finance"
132	"Art"
133	"Popular Culture"
134	"Body"
135	"Mind & Spirit"
136	"Inspiration & Personal Growth"
137	"Environmentalists & Naturalists"
138	"Physiological Psychology"
